Index_no,listing_id,date,availability
334,241032,12/2/2016,1
335,241032,12/3/2016,1
336,241032,12/4/2016,1
337,241032,12/5/2016,1
338,241032,12/6/2016,1
339,241032,12/7/2016,1
340,241032,12/8/2016,1
341,241032,12/9/2016,1
342,241032,12/10/2016,1
343,241032,12/11/2016,1
344,241032,12/12/2016,1
345,241032,12/13/2016,1
346,241032,12/14/2016,1
347,241032,12/15/2016,1
348,241032,12/16/2016,1
349,241032,12/17/2016,1
350,241032,12/18/2016,1
351,241032,12/19/2016,1
352,241032,12/20/2016,1
353,241032,12/21/2016,1
354,241032,12/22/2016,1
355,241032,12/23/2016,1
356,241032,12/24/2016,1
357,241032,12/25/2016,1
358,241032,12/26/2016,1
359,241032,12/27/2016,1
360,241032,12/28/2016,1
361,241032,12/29/2016,1
362,241032,12/30/2016,1
363,241032,12/31/2016,1
364,241032,1/1/2017,1
365,241032,1/2/2017,1
366,953595,1/4/2016,1
367,953595,1/5/2016,1
368,953595,1/6/2016,0
369,953595,1/7/2016,0
370,953595,1/8/2016,0
371,953595,1/9/2016,1
372,953595,1/10/2016,1
373,953595,1/11/2016,1
374,953595,1/12/2016,1
375,953595,1/13/2016,1
376,953595,1/14/2016,1
377,953595,1/15/2016,0
378,953595,1/16/2016,0
379,953595,1/17/2016,0
380,953595,1/18/2016,1
381,953595,1/19/2016,0
382,953595,1/20/2016,0
383,953595,1/21/2016,0
384,953595,1/22/2016,0
385,953595,1/23/2016,0
386,953595,1/24/2016,0
387,953595,1/25/2016,0
388,953595,1/26/2016,1
389,953595,1/27/2016,1
390,953595,1/28/2016,1
391,953595,1/29/2016,1
392,953595,1/30/2016,0
393,953595,1/31/2016,0
394,953595,2/1/2016,0
395,953595,2/2/2016,0
396,953595,2/3/2016,0
397,953595,2/4/2016,0
398,953595,2/5/2016,0
399,953595,2/6/2016,0
400,953595,2/7/2016,0
401,953595,2/8/2016,0
402,953595,2/9/2016,0
403,953595,2/10/2016,0
404,953595,2/11/2016,0
405,953595,2/12/2016,0
406,953595,2/13/2016,0
407,953595,2/14/2016,0
408,953595,2/15/2016,0
409,953595,2/16/2016,0
410,953595,2/17/2016,0
411,953595,2/18/2016,0
412,953595,2/19/2016,0
413,953595,2/20/2016,0
414,953595,2/21/2016,0
415,953595,2/22/2016,0
416,953595,2/23/2016,0
417,953595,2/24/2016,0
418,953595,2/25/2016,0
419,953595,2/26/2016,0
420,953595,2/27/2016,0
421,953595,2/28/2016,0
422,953595,2/29/2016,0
423,953595,3/1/2016,0
424,953595,3/2/2016,0
425,953595,3/3/2016,0
426,953595,3/4/2016,0
427,953595,3/5/2016,0
428,953595,3/6/2016,0
429,953595,3/7/2016,0
430,953595,3/8/2016,0
431,953595,3/9/2016,0
432,953595,3/10/2016,0
433,953595,3/11/2016,0
434,953595,3/12/2016,0
435,953595,3/13/2016,0
436,953595,3/14/2016,0
437,953595,3/15/2016,0
438,953595,3/16/2016,0
439,953595,3/17/2016,0
440,953595,3/18/2016,0
441,953595,3/19/2016,0
442,953595,3/20/2016,0
443,953595,3/21/2016,0
444,953595,3/22/2016,0
445,953595,3/23/2016,0
446,953595,3/24/2016,0
447,953595,3/25/2016,0
448,953595,3/26/2016,0
449,953595,3/27/2016,0
450,953595,3/28/2016,0
451,953595,3/29/2016,0
452,953595,3/30/2016,0
453,953595,3/31/2016,1
454,953595,4/1/2016,1
455,953595,4/2/2016,1
456,953595,4/3/2016,1
457,953595,4/4/2016,1
458,953595,4/5/2016,1
459,953595,4/6/2016,1
460,953595,4/7/2016,1
461,953595,4/8/2016,1
462,953595,4/9/2016,1
463,953595,4/10/2016,1
464,953595,4/11/2016,1
465,953595,4/12/2016,1
466,953595,4/13/2016,1
467,953595,4/14/2016,1
468,953595,4/15/2016,1
469,953595,4/16/2016,1
470,953595,4/17/2016,1
471,953595,4/18/2016,1
472,953595,4/19/2016,1
473,953595,4/20/2016,1
474,953595,4/21/2016,1
475,953595,4/22/2016,1
476,953595,4/23/2016,1
477,953595,4/24/2016,1
478,953595,4/25/2016,1
479,953595,4/26/2016,1
480,953595,4/27/2016,1
481,953595,4/28/2016,1
482,953595,4/29/2016,1
483,953595,4/30/2016,1
484,953595,5/1/2016,1
485,953595,5/2/2016,1
486,953595,5/3/2016,1
487,953595,5/4/2016,1
488,953595,5/5/2016,1
489,953595,5/6/2016,1
490,953595,5/7/2016,1
491,953595,5/8/2016,1
492,953595,5/9/2016,1
493,953595,5/10/2016,1
494,953595,5/11/2016,1
495,953595,5/12/2016,1
496,953595,5/13/2016,1
497,953595,5/14/2016,1
498,953595,5/15/2016,1
499,953595,5/16/2016,1
500,953595,5/17/2016,1
501,953595,5/18/2016,1
502,953595,5/19/2016,1
503,953595,5/20/2016,1
504,953595,5/21/2016,1
505,953595,5/22/2016,1
506,953595,5/23/2016,1
507,953595,5/24/2016,1
508,953595,5/25/2016,1
509,953595,5/26/2016,1
510,953595,5/27/2016,1
511,953595,5/28/2016,1
512,953595,5/29/2016,1
513,953595,5/30/2016,1
514,953595,5/31/2016,1
515,953595,6/1/2016,1
516,953595,6/2/2016,1
517,953595,6/3/2016,1
518,953595,6/4/2016,1
519,953595,6/5/2016,1
520,953595,6/6/2016,1
521,953595,6/7/2016,1
522,953595,6/8/2016,1
523,953595,6/9/2016,1
524,953595,6/10/2016,1
525,953595,6/11/2016,1
526,953595,6/12/2016,1
527,953595,6/13/2016,1
528,953595,6/14/2016,1
529,953595,6/15/2016,1
530,953595,6/16/2016,1
531,953595,6/17/2016,1
532,953595,6/18/2016,1
533,953595,6/19/2016,1
534,953595,6/20/2016,1
535,953595,6/21/2016,1
536,953595,6/22/2016,1
537,953595,6/23/2016,1
538,953595,6/24/2016,1
539,953595,6/25/2016,1
540,953595,6/26/2016,1
541,953595,6/27/2016,1
542,953595,6/28/2016,1
543,953595,6/29/2016,1
544,953595,6/30/2016,1
545,953595,7/1/2016,1
546,953595,7/2/2016,1
547,953595,7/3/2016,1
548,953595,7/4/2016,1
549,953595,7/5/2016,1
550,953595,7/6/2016,1
551,953595,7/7/2016,1
552,953595,7/8/2016,1
553,953595,7/9/2016,1
554,953595,7/10/2016,1
555,953595,7/11/2016,1
556,953595,7/12/2016,1
557,953595,7/13/2016,1
558,953595,7/14/2016,1
559,953595,7/15/2016,1
560,953595,7/16/2016,1
561,953595,7/17/2016,1
562,953595,7/18/2016,1
563,953595,7/19/2016,1
564,953595,7/20/2016,1
565,953595,7/21/2016,1
566,953595,7/22/2016,1
567,953595,7/23/2016,1
568,953595,7/24/2016,1
569,953595,7/25/2016,1
570,953595,7/26/2016,1
571,953595,7/27/2016,1
572,953595,7/28/2016,1
573,953595,7/29/2016,1
574,953595,7/30/2016,1
575,953595,7/31/2016,1
576,953595,8/1/2016,1
577,953595,8/2/2016,1
578,953595,8/3/2016,1
579,953595,8/4/2016,1
580,953595,8/5/2016,1
581,953595,8/6/2016,1
582,953595,8/7/2016,1
583,953595,8/8/2016,1
584,953595,8/9/2016,1
