cancellation_id,listing_id,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month
314,9294832,f,flexible,1,3.16
315,8643209,f,flexible,1,1.35
316,7258811,f,strict,37,
317,10265391,f,flexible,1,
318,132120,f,moderate,1,0.63
319,6343866,f,strict,1,1.46
320,3066740,t,flexible,1,0.89
321,4130112,f,strict,3,0.13
322,4026757,t,strict,3,5.38
323,9545281,f,flexible,1,
324,3294804,f,strict,2,0.9
325,4122325,f,moderate,1,1.79
326,8308353,f,flexible,1,1.86
327,7226013,f,flexible,1,1.85
328,5761290,f,moderate,2,1.82
329,182716,f,flexible,1,1.17
330,3050140,f,flexible,1,2.75
331,3254956,f,strict,1,1.53
332,1264287,f,strict,1,0.94
333,3404557,f,strict,37,0.33
334,3939683,f,flexible,37,0.28
335,3424242,f,strict,37,0.39
336,7985714,f,flexible,37,0.29
337,4279876,f,strict,1,4.31
338,3870253,f,moderate,1,2.38
339,2187563,t,moderate,1,1.89
340,3889299,f,strict,37,0.47
341,3889330,f,strict,37,
342,1184846,f,flexible,1,1.07
343,3626162,f,moderate,1,1.99
344,456040,f,flexible,2,4.68
345,9033154,f,moderate,1,
346,4340838,f,flexible,1,3.01
347,808811,f,strict,1,1.58
348,7368030,f,flexible,1,0.2
349,522287,f,flexible,2,4.7
350,1940787,f,strict,2,0.35
351,3732103,f,strict,37,0.35
352,43373,f,moderate,1,2.77
353,5126365,f,moderate,2,0.3
354,7182584,f,flexible,1,0.99
355,5325214,f,strict,1,1.32
356,2710274,f,moderate,2,4.06
357,5128160,f,moderate,1,0.79
358,3424114,f,strict,37,0.23
359,2776890,f,strict,1,1.29
360,4521755,t,strict,2,1.41
361,3456599,f,moderate,2,2.05
362,8207848,f,strict,8,0.27
363,10249527,f,flexible,1,
364,1252740,f,flexible,1,2.25
365,4250938,f,strict,31,0.2
366,3791920,f,moderate,1,4.23
367,4258762,t,strict,1,1.73
368,7364146,f,moderate,1,1.51
369,6765045,f,strict,1,0.88
370,3193738,f,strict,2,0.13
371,8765219,f,flexible,1,0.98
372,8174285,f,strict,3,0.41
373,3403638,f,strict,37,0.35
374,7601333,f,flexible,1,1.06
375,6707735,f,flexible,1,6.57
376,7322718,f,strict,1,0.19
