type_no,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
882,4773614,Apartment,Entire home/apt,2,1,1,3,Real Bed,
883,3946674,House,Private room,2,1,1,1,Real Bed,
884,8616488,Apartment,Entire home/apt,2,1,1,1,Real Bed,
885,7518316,Apartment,Entire home/apt,3,1,1,1,Real Bed,
886,5259194,House,Private room,2,1,1,1,Real Bed,
887,9256702,House,Entire home/apt,4,1,1,2,Real Bed,
888,9240289,House,Private room,1,1,1,1,Real Bed,
889,2032805,House,Private room,2,2,1,1,Real Bed,
890,3751503,Apartment,Entire home/apt,2,1,1,1,Real Bed,
891,7581974,House,Private room,2,1,1,1,Real Bed,
892,6558980,Townhouse,Entire home/apt,4,2,1,1,Real Bed,
893,2399736,Apartment,Entire home/apt,4,1,2,2,Real Bed,
894,8674765,Apartment,Entire home/apt,2,1,0,1,Real Bed,
895,6004165,House,Entire home/apt,2,1,0,1,Real Bed,
896,1826155,House,Private room,2,3,1,1,Real Bed,
897,4857192,House,Private room,2,1,1,2,Real Bed,
898,7748905,Apartment,Private room,2,1,1,1,Real Bed,
899,973859,House,Entire home/apt,6,1,2,3,Real Bed,850
900,6716380,House,Entire home/apt,4,1,2,2,Real Bed,
901,7953211,House,Entire home/apt,6,1,3,4,Real Bed,
902,5241773,House,Private room,2,1,1,1,Real Bed,
903,3144597,House,Private room,1,1.5,1,1,Real Bed,
904,7698916,Apartment,Private room,2,1,1,1,Real Bed,
905,7305969,Townhouse,Private room,2,1,1,1,Real Bed,
906,5069495,Townhouse,Entire home/apt,4,0.5,1,1,Real Bed,
907,1817878,House,Entire home/apt,6,2,2,2,Real Bed,
908,4430381,Apartment,Entire home/apt,4,1,2,2,Real Bed,
909,6528192,Apartment,Private room,1,1,1,1,Futon,
910,3177005,Apartment,Entire home/apt,3,2,2,2,Real Bed,
911,4430233,Apartment,Entire home/apt,4,1,2,2,Real Bed,
912,670009,House,Entire home/apt,8,1,3,3,Real Bed,1300
913,4577542,Apartment,Entire home/apt,4,1,1,1,Real Bed,
914,6764646,House,Entire home/apt,4,1,2,2,Real Bed,
915,4256705,Apartment,Private room,4,2,1,1,Real Bed,
916,8812578,Apartment,Entire home/apt,4,1,2,2,Real Bed,
917,341454,Apartment,Entire home/apt,4,1,2,2,Real Bed,1200
918,8195629,Condominium,Entire home/apt,3,1,1,2,Real Bed,
919,2577625,Apartment,Entire home/apt,2,1,1,1,Real Bed,
920,555858,House,Private room,2,1,1,1,Real Bed,
921,4814811,House,Private room,2,1,1,1,Real Bed,
922,9484823,House,Private room,3,1,1,2,Real Bed,
923,660603,House,Private room,1,1,1,1,Real Bed,
924,3940265,House,Private room,2,1.5,1,1,Real Bed,
925,7500976,Apartment,Entire home/apt,6,1,2,2,Real Bed,
926,9516608,House,Entire home/apt,8,3.5,4,5,Real Bed,
927,9712716,House,Private room,2,1,1,2,Real Bed,
928,5813657,House,Entire home/apt,10,3.5,4,6,Real Bed,
929,8884826,Townhouse,Entire home/apt,6,1.5,2,3,Real Bed,
930,1978743,House,Private room,2,3,1,1,Real Bed,
931,6091789,House,Entire home/apt,6,1.5,3,5,Real Bed,
932,6165353,House,Entire home/apt,3,1,1,1,Real Bed,
933,1244053,House,Private room,1,1,1,1,Futon,
934,8508223,Townhouse,Entire home/apt,8,3.5,3,5,Real Bed,
935,6991188,House,Entire home/apt,3,1,1,1,Real Bed,
936,7344117,Loft,Entire home/apt,10,2.5,2,8,Real Bed,
937,9506766,House,Entire home/apt,2,1,1,1,Real Bed,
938,6451305,House,Entire home/apt,6,2.5,3,4,Real Bed,
939,7531405,Townhouse,Private room,4,1,1,1,Real Bed,
940,9612147,House,Entire home/apt,4,1,2,2,Real Bed,
941,666897,House,Entire home/apt,4,1,1,1,Real Bed,
942,4061051,House,Private room,4,1.5,1,1,Real Bed,
943,3394338,Apartment,Entire home/apt,2,1,0,1,Real Bed,
944,4238106,Apartment,Private room,2,1,1,1,Real Bed,
945,7350059,House,Private room,2,1,1,1,Real Bed,
946,5262750,Apartment,Entire home/apt,3,1,1,2,Real Bed,
947,2802844,House,Private room,2,1,1,1,Real Bed,
948,3123632,Apartment,Entire home/apt,2,2,1,1,Real Bed,
949,3024336,House,Entire home/apt,4,1.5,1,2,Real Bed,
950,8652185,House,Entire home/apt,6,3.5,4,4,Real Bed,
951,10192213,Apartment,Entire home/apt,2,1,0,1,Real Bed,
952,3970736,Apartment,Entire home/apt,5,1,1,1,Real Bed,
953,4546924,Apartment,Entire home/apt,4,1,1,3,Real Bed,
954,2760901,House,Entire home/apt,2,1,1,1,Real Bed,
955,3490239,House,Entire home/apt,5,2.5,2,3,Real Bed,
956,3416217,Apartment,Entire home/apt,2,1,1,1,Real Bed,
957,5537833,House,Entire home/apt,4,1,2,3,Real Bed,
958,8372562,House,Entire home/apt,5,3,3,5,Real Bed,
959,8866960,Townhouse,Private room,2,1,1,1,Real Bed,
960,3354614,Apartment,Entire home/apt,4,1,1,2,Real Bed,
961,8953857,House,Entire home/apt,4,1,1,3,Real Bed,
962,7093738,House,Private room,2,1,1,1,Real Bed,
963,5277900,House,Entire home/apt,6,2,3,5,Real Bed,
964,1171574,House,Private room,2,1,1,1,Real Bed,
965,1818754,House,Entire home/apt,6,2,2,2,Real Bed,
966,74328,Apartment,Entire home/apt,3,1,1,1,Real Bed,
967,6728017,House,Entire home/apt,7,2.5,3,3,Real Bed,
968,2612399,Loft,Entire home/apt,2,1,0,1,Real Bed,
969,2515795,House,Entire home/apt,6,1.5,3,3,Real Bed,
970,7093910,House,Private room,2,1,1,1,Real Bed,
971,4170863,Apartment,Entire home/apt,2,1,1,1,Real Bed,
972,7941079,House,Private room,3,1.5,1,1,Real Bed,
973,1442973,House,Entire home/apt,4,1,2,2,Real Bed,
974,4396961,House,Private room,2,2,1,1,Real Bed,
975,5859152,House,Private room,3,1.5,1,1,Real Bed,
976,8555794,Townhouse,Private room,2,1.5,1,1,Real Bed,
977,2112625,House,Private room,2,1.5,1,1,Pull-out Sofa,
978,8814802,House,Private room,3,1,1,1,Real Bed,
979,8273948,Apartment,Entire home/apt,2,1,1,1,Real Bed,
980,319768,House,Entire home/apt,8,2.5,3,4,Real Bed,
981,1961671,House,Entire home/apt,6,2,3,3,Real Bed,
982,3691288,House,Entire home/apt,8,2.5,3,3,Real Bed,
983,8703557,House,Private room,2,1,1,1,Real Bed,
984,8525338,Townhouse,Entire home/apt,5,3.5,3,3,Real Bed,
985,8049470,Apartment,Private room,2,1,1,1,Real Bed,
986,1455908,House,Entire home/apt,6,1.5,2,3,Real Bed,
987,8525825,Townhouse,Private room,2,1.5,1,1,Real Bed,
988,3463245,Apartment,Private room,2,1,1,1,Real Bed,
989,4172364,House,Private room,2,2,1,1,Real Bed,
990,3728802,House,Entire home/apt,8,3.5,5,5,Real Bed,
991,6512378,Townhouse,Private room,1,1,1,1,Real Bed,
992,785830,House,Entire home/apt,8,3.5,5,5,Real Bed,
993,8616606,House,Entire home/apt,4,2.5,2,2,Real Bed,
994,5078244,Apartment,Private room,2,1,1,1,Pull-out Sofa,
995,7921278,Apartment,Private room,2,1,1,2,Real Bed,
996,8016610,House,Entire home/apt,4,1,2,2,Real Bed,
997,4468524,House,Private room,1,2,1,1,Real Bed,
998,8424532,House,Entire home/apt,12,3.5,5,8,Real Bed,
999,6990882,House,Entire home/apt,10,3.5,3,3,Real Bed,
1000,4017140,House,Private room,2,1,1,1,Real Bed,
