type_no,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
140,5562674,House,Entire home/apt,4,1,2,2,Real Bed,
141,1789341,House,Entire home/apt,2,1,1,1,Real Bed,
142,4672934,House,Entire home/apt,10,2.5,3,5,Real Bed,
143,4550099,House,Entire home/apt,6,3,3,3,Real Bed,
144,1198799,House,Private room,2,1.5,1,1,Real Bed,
145,5308429,House,Private room,2,1,1,1,Real Bed,
146,2769088,House,Entire home/apt,4,1,2,2,Real Bed,
147,7603135,House,Entire home/apt,4,1,2,2,Real Bed,
148,9374365,House,Private room,2,1.5,1,1,Real Bed,
149,6106498,House,Private room,2,1,1,1,Real Bed,
150,9331449,Townhouse,Private room,2,1.5,1,1,Real Bed,
151,8799162,House,Private room,2,1,1,1,Real Bed,
152,4317390,House,Entire home/apt,8,1,2,6,Real Bed,
153,3884851,Apartment,Private room,2,1,1,1,Real Bed,
154,3155785,Apartment,Private room,1,2,1,1,Real Bed,
155,9368517,House,Entire home/apt,4,2,3,3,Real Bed,
156,5643240,Apartment,Entire home/apt,2,1,1,1,Real Bed,
157,5042014,House,Private room,1,1,1,1,Pull-out Sofa,
158,7724630,Apartment,Private room,2,1,1,1,Futon,
159,9449437,Townhouse,Entire home/apt,8,2.5,4,4,Real Bed,
160,3053237,House,Entire home/apt,2,1,1,1,Real Bed,
161,8132347,House,Entire home/apt,8,2,2,4,Real Bed,
162,63733,Apartment,Entire home/apt,2,1,1,1,Real Bed,
163,2039149,House,Entire home/apt,10,2,3,3,Real Bed,
164,227636,Apartment,Entire home/apt,3,1,1,2,Real Bed,800
165,3689119,House,Entire home/apt,2,1,0,1,Real Bed,
166,1179538,House,Private room,4,1.5,1,2,Real Bed,
167,6823781,House,Entire home/apt,3,1,1,3,Real Bed,
168,2284536,House,Entire home/apt,4,1,1,1,Real Bed,
169,5143441,Apartment,Entire home/apt,4,1,1,3,Real Bed,
170,5749958,House,Entire home/apt,6,1,2,3,Real Bed,
171,9116815,Apartment,Entire home/apt,4,1,2,2,Real Bed,
172,7731836,Apartment,Entire home/apt,4,1,1,2,Real Bed,
173,10262971,House,Private room,2,1,1,1,Real Bed,
174,1407502,House,Private room,1,1,1,1,Real Bed,
175,8817038,Apartment,Entire home/apt,4,1,2,2,Real Bed,
176,4449303,House,Private room,2,1,1,1,Real Bed,
177,8255615,Apartment,Entire home/apt,3,1,1,1,Real Bed,
178,4053092,House,Private room,2,1,1,1,Real Bed,
179,6886633,Camper/RV,Entire home/apt,2,1,0,1,Pull-out Sofa,
180,8820414,Apartment,Entire home/apt,3,1,2,2,Real Bed,
181,3052151,House,Private room,2,1,1,1,Real Bed,
182,2339333,House,Entire home/apt,8,3.5,4,4,Real Bed,
183,1618842,Apartment,Entire home/apt,4,1,0,1,Real Bed,450
184,888967,House,Private room,2,1,1,1,Real Bed,
185,380950,House,Entire home/apt,12,2,4,5,Real Bed,
186,8097708,House,Entire home/apt,6,1.5,3,3,Real Bed,
187,5671843,House,Private room,2,1,1,1,Real Bed,
188,904057,House,Entire home/apt,3,1,1,1,Real Bed,
189,7161725,Townhouse,Private room,3,1,1,2,Real Bed,
190,9587410,House,Private room,3,1,1,2,Real Bed,
191,9202380,Apartment,Entire home/apt,4,1,1,1,Real Bed,
192,2238105,House,Entire home/apt,2,1,1,1,Real Bed,
193,9545766,House,Private room,2,1,1,2,Real Bed,
194,2441908,House,Entire home/apt,5,1,1,3,Real Bed,
195,9367465,House,Entire home/apt,4,1,1,2,Real Bed,
196,3031415,House,Entire home/apt,8,2,3,3,Real Bed,
197,843812,House,Entire home/apt,6,2,3,3,Real Bed,1
198,3835995,House,Entire home/apt,2,1,1,1,Real Bed,
199,9732638,Townhouse,Entire home/apt,5,3,2,2,Real Bed,
200,3768745,House,Private room,2,1,1,1,Real Bed,
201,3975434,Apartment,Private room,2,1,1,1,Real Bed,
202,5620928,Apartment,Private room,2,1,1,1,Real Bed,
203,7381677,Apartment,Entire home/apt,2,1,1,1,Real Bed,
204,5487934,Apartment,Private room,2,1,1,1,Real Bed,
205,9028447,Apartment,Entire home/apt,2,1,1,1,Real Bed,
206,757840,House,Entire home/apt,6,2.5,3,4,Real Bed,1800
207,8848403,Apartment,Shared room,2,1,1,1,Pull-out Sofa,
208,7430926,Apartment,Entire home/apt,4,1,1,1,Real Bed,
209,7021544,Apartment,Entire home/apt,4,1,1,2,Real Bed,
210,1323446,Apartment,Entire home/apt,5,1,1,4,Real Bed,
211,3925573,Apartment,Entire home/apt,4,1,1,1,Real Bed,
212,8723086,Apartment,Entire home/apt,4,1,1,2,Real Bed,
213,781474,Boat,Entire home/apt,1,1,1,1,Real Bed,300
214,9812439,Apartment,Entire home/apt,4,1,1,2,Real Bed,
215,3401644,Apartment,Entire home/apt,4,1,1,2,Real Bed,
216,10036903,Apartment,Entire home/apt,3,1,1,1,Real Bed,
217,5310193,House,Entire home/apt,6,2,3,3,Real Bed,
218,5308875,Apartment,Entire home/apt,2,1,1,1,Real Bed,
219,5052459,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,
220,7228499,House,Entire home/apt,10,2,2,5,Real Bed,
221,7651653,Apartment,Entire home/apt,2,1,1,1,Real Bed,
222,1494986,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,
223,1783382,Apartment,Entire home/apt,2,1,1,1,Real Bed,
224,7513198,Condominium,Entire home/apt,4,2,2,1,Real Bed,
225,8308316,Apartment,Entire home/apt,4,1,2,3,Real Bed,
226,9694921,House,Entire home/apt,5,2,3,3,Real Bed,
227,2472850,Apartment,Entire home/apt,4,1,1,2,Real Bed,
228,5487522,Apartment,Entire home/apt,4,2,2,2,Real Bed,
229,4016650,House,Private room,2,1.5,1,1,Real Bed,
230,10229434,Apartment,Entire home/apt,4,1,1,1,Real Bed,
231,3479241,Apartment,Private room,2,1,1,1,Real Bed,
232,5848400,House,Entire home/apt,8,1.5,3,5,Real Bed,
233,6077760,House,Private room,2,1.5,1,1,Real Bed,
234,4642956,Apartment,Entire home/apt,2,1,1,1,Real Bed,
235,1167507,Apartment,Entire home/apt,4,1,1,2,Real Bed,500
236,6044106,Apartment,Entire home/apt,4,1,1,2,Real Bed,
237,1799255,House,Private room,2,1,1,1,Real Bed,
238,8941768,Apartment,Entire home/apt,2,1,1,1,Real Bed,
239,6569950,Apartment,Entire home/apt,2,1,1,1,Real Bed,
240,7733192,House,Entire home/apt,8,3.5,3,3,Real Bed,
241,9215782,Condominium,Entire home/apt,4,2,2,2,Real Bed,
242,5175631,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,
243,6315614,Apartment,Entire home/apt,4,1,1,2,Real Bed,
244,9134193,Apartment,Entire home/apt,2,1,0,1,Real Bed,
245,2481189,House,Entire home/apt,6,2,3,4,Real Bed,
246,8535897,House,Private room,2,1,1,1,Real Bed,
247,9476826,Condominium,Private room,1,1,1,1,Real Bed,
248,3144311,Apartment,Entire home/apt,2,1,1,1,Real Bed,
249,9370007,Apartment,Entire home/apt,2,1,1,1,Real Bed,
250,6781308,Apartment,Entire home/apt,4,1,1,2,Real Bed,
251,160222,Apartment,Entire home/apt,2,1,1,1,Real Bed,
252,4250367,House,Entire home/apt,7,4,3,3,Real Bed,
253,8755479,Apartment,Entire home/apt,4,2,2,2,Real Bed,
254,8829156,Apartment,Entire home/apt,4,1,1,2,Real Bed,
255,5126077,Apartment,Private room,2,1,1,1,Real Bed,
256,6108796,Apartment,Entire home/apt,4,1,1,2,Real Bed,
257,2692126,Apartment,Entire home/apt,2,1,1,1,Real Bed,
258,6882211,House,Entire home/apt,2,1,1,1,Real Bed,
259,9573675,Apartment,Entire home/apt,5,2.5,2,2,Real Bed,
260,3544953,Apartment,Private room,2,1,1,1,Real Bed,
261,2020505,House,Entire home/apt,2,1,1,1,Real Bed,
262,5580457,Apartment,Entire home/apt,2,1,1,2,Real Bed,
263,1495271,House,Entire home/apt,6,2,3,3,Real Bed,
264,8455865,House,Entire home/apt,6,3.5,4,4,Real Bed,
265,9679300,Apartment,Private room,2,1,1,1,Real Bed,
266,6065566,House,Entire home/apt,6,1.5,3,3,Real Bed,
267,4645208,House,Entire home/apt,8,3,4,5,Real Bed,
268,6115807,House,Entire home/apt,8,2,3,4,Real Bed,
269,7091397,Bungalow,Entire home/apt,3,1,1,2,Real Bed,
270,6134153,Apartment,Entire home/apt,4,1,2,3,Real Bed,
271,7763878,Apartment,Entire home/apt,4,2,2,2,Real Bed,
272,8088447,Apartment,Entire home/apt,3,1,1,1,Real Bed,
273,3418349,Apartment,Entire home/apt,2,1,1,1,Real Bed,
274,9199982,Apartment,Entire home/apt,3,1,1,1,Real Bed,
275,6400000,Apartment,Entire home/apt,4,1,1,1,Real Bed,
276,6776229,Apartment,Entire home/apt,4,1,1,2,Real Bed,
277,7627794,Loft,Entire home/apt,4,1,1,2,Real Bed,
278,8374102,Apartment,Entire home/apt,4,1,1,1,Real Bed,
279,6316934,Apartment,Entire home/apt,4,1,1,2,Real Bed,
280,1820794,Apartment,Entire home/apt,2,1,0,1,Real Bed,600
281,314180,House,Entire home/apt,5,1.5,3,3,Real Bed,
282,8670079,House,Entire home/apt,5,2,3,3,Real Bed,
283,4868135,Apartment,Entire home/apt,6,1,2,3,Real Bed,
284,5336585,Loft,Entire home/apt,2,1,0,1,Real Bed,
285,1427103,Apartment,Entire home/apt,3,1,1,2,Real Bed,
286,3518808,Apartment,Entire home/apt,2,1,1,1,Real Bed,
287,8995844,House,Entire home/apt,6,2,3,2,Real Bed,
288,356566,House,Private room,2,2,1,1,Real Bed,
289,6466388,House,Private room,2,1,1,1,Real Bed,
290,4531944,House,Entire home/apt,2,1,1,1,Real Bed,
291,6686072,Apartment,Entire home/apt,4,1,1,1,Real Bed,
292,4384343,Apartment,Entire home/apt,2,1,1,1,Real Bed,
293,7900056,House,Entire home/apt,8,2,4,4,Real Bed,
294,6378563,House,Entire home/apt,6,1.5,2,3,Real Bed,
295,5630783,House,Entire home/apt,4,1,0,2,Real Bed,
296,340706,Apartment,Entire home/apt,4,1,1,1,Real Bed,
297,6202214,Apartment,Entire home/apt,2,1,1,2,Real Bed,
298,1030411,House,Entire home/apt,4,2,2,2,Real Bed,2100
299,7922373,House,Entire home/apt,4,1,0,2,Real Bed,
300,6156470,House,Private room,2,1,1,1,Real Bed,
301,2994309,Apartment,Entire home/apt,6,1,2,3,Real Bed,
302,1594328,House,Entire home/apt,6,1,2,3,Real Bed,
303,8072920,Apartment,Entire home/apt,2,1,0,1,Real Bed,
304,6915487,House,Entire home/apt,4,1,2,2,Real Bed,
305,6202603,Apartment,Entire home/apt,4,1,1,1,Real Bed,
306,5286781,Apartment,Entire home/apt,3,1,1,2,Real Bed,
307,2818420,House,Entire home/apt,4,1,1,2,Real Bed,
308,3739681,House,Entire home/apt,4,1,2,2,Real Bed,
309,7922063,Apartment,Shared room,2,1,1,1,Airbed,
310,611509,House,Private room,2,1,1,1,Real Bed,
311,1802663,House,Entire home/apt,4,1,1,2,Real Bed,
312,9797545,House,Private room,1,1,1,1,Real Bed,
313,9241055,House,Entire home/apt,6,1,3,3,Real Bed,
314,9294832,Apartment,Private room,2,1,1,2,Real Bed,
315,8643209,Apartment,Private room,2,1.5,1,1,Real Bed,
316,7258811,House,Shared room,1,1,1,1,Real Bed,
317,10265391,Apartment,Entire home/apt,2,1,1,1,Real Bed,
318,132120,Apartment,Entire home/apt,4,1,1,1,Real Bed,
319,6343866,Apartment,Entire home/apt,4,1,2,3,Real Bed,
