host_no,listing_id,availability_30,availability_60,availability_90,availability_365
512,8536441,21,39,55,55
513,6262987,0,0,0,121
514,8379081,23,53,83,228
515,8365938,30,60,90,365
516,9921445,30,60,90,365
517,132160,30,60,90,179
518,2033191,14,44,74,346
519,8849407,30,60,90,365
520,9922335,30,60,90,362
521,7243974,0,0,0,153
522,6490453,30,60,90,365
523,4025593,15,42,54,142
524,8556103,29,55,85,269
525,955506,30,60,90,365
526,9868607,0,0,0,1
527,8668073,30,60,90,365
528,790860,3,33,63,338
529,261912,0,0,0,18
530,368403,16,46,76,335
531,9878971,24,24,24,25
532,5602370,3,33,63,318
533,9395217,0,4,34,309
534,7331079,0,0,0,148
535,580182,2,21,38,236
536,8152191,5,35,65,340
537,103908,30,60,90,365
538,783061,9,12,42,245
539,7901725,0,0,0,114
540,4968752,5,14,24,91
541,14386,8,11,41,316
542,7517215,30,60,90,365
543,1602421,0,0,0,124
544,3821822,25,55,85,360
545,6073437,0,0,0,247
546,7917700,30,60,90,365
547,6278181,0,0,0,121
548,4279578,30,36,60,149
549,9907337,30,60,90,365
550,1796861,0,3,33,308
551,4211836,0,0,0,0
552,4025954,26,47,77,352
553,6154478,28,58,88,363
554,84030,30,60,90,365
555,4235559,0,0,27,27
556,830948,30,60,90,365
557,3468261,0,0,0,91
558,10026648,13,13,13,13
559,9117633,10,37,37,37
560,9158383,0,0,0,41
561,1145590,30,60,90,365
562,5020848,30,60,90,365
563,9600159,0,0,0,16
564,3522409,20,44,74,338
565,9492873,24,49,73,348
566,5534463,30,60,90,363
567,9409233,30,60,90,365
568,9531265,30,60,90,365
569,5364609,0,0,10,10
570,6629132,30,60,90,365
571,5489676,0,0,0,0
572,9347157,13,43,73,345
573,10035644,1,1,3,278
574,8293287,30,60,89,89
575,910784,21,49,79,346
576,7071222,0,0,0,90
577,8687716,27,57,87,362
578,7430679,28,28,28,244
579,180939,30,60,90,365
580,6884604,0,0,27,302
581,7397476,30,60,90,365
582,1063855,30,60,90,365
583,8865006,23,48,77,77
584,8069192,30,60,90,338
585,2800448,16,44,71,71
586,9076287,30,60,90,365
587,7462439,30,60,90,365
588,8225635,30,60,90,365
589,2966415,27,57,87,362
590,4639465,30,60,90,357
591,7402190,30,60,90,365
592,9448719,30,60,90,365
593,5670781,11,28,43,222
594,1905473,0,26,56,331
595,7266662,29,59,89,364
596,9095510,30,60,90,365
597,7401854,0,0,0,145
598,5174876,30,60,74,349
599,1256883,0,0,7,282
600,8072850,0,0,0,101
601,6706377,0,0,0,0
602,9738522,27,57,87,358
603,2995996,0,0,18,293
604,6674408,3,29,54,111
605,6801095,30,60,90,365
606,143704,23,53,72,347
607,9258305,30,60,90,179
608,3727017,0,0,0,149
609,789966,30,60,90,365
610,6864319,0,0,0,176
611,1539463,30,60,90,365
612,9591787,26,56,86,361
613,10279830,2,32,62,337
614,1956553,26,56,86,175
615,7396508,30,60,90,365
616,6272065,0,0,0,219
617,7072218,7,37,66,66
618,7075948,30,60,90,365
619,7543458,5,12,42,118
620,3769336,16,46,76,165
621,8666707,0,0,0,92
622,7205443,0,0,0,255
623,193371,0,0,0,46
624,9957555,24,54,83,83
625,6795678,13,43,73,134
626,9300972,0,0,0,33
627,8047522,30,60,90,365
628,9457328,11,41,71,346
629,6576006,8,30,50,303
630,7971334,30,60,90,365
631,1984962,30,60,90,365
632,9292039,30,60,90,365
633,6661617,5,25,25,242
634,8848854,0,0,0,67
635,3251069,30,60,90,365
636,4111137,22,47,73,342
637,4760472,20,46,76,335
638,8968925,30,60,90,365
639,3293438,21,32,54,131
640,9210978,0,0,0,37
641,3319386,30,60,90,365
642,7717813,23,53,83,358
643,5578943,3,24,54,143
644,7660932,0,0,0,247
645,4271221,27,57,87,360
646,6358605,0,26,56,331
647,1439237,9,39,69,344
648,7775167,0,0,0,274
649,7437784,0,0,0,0
650,9628972,19,44,73,73
651,8425013,23,49,76,332
652,6925807,30,60,90,365
653,7400955,0,0,0,149
654,8174389,0,0,0,98
655,6292452,0,0,0,19
656,9095668,0,0,0,0
657,413733,30,60,90,365
658,8783900,30,60,62,106
659,639130,0,23,50,322
660,2484067,30,60,90,365
661,3533112,0,0,0,0
662,2249292,21,21,21,170
663,7838294,0,0,0,119
664,6133354,28,58,88,363
665,7987836,30,60,90,365
666,9910025,25,52,80,344
667,7364024,10,40,70,345
668,9362082,10,13,13,43
669,8847108,16,39,69,344
670,7462428,30,60,89,89
671,4370312,8,25,54,54
672,4053972,19,49,79,168
673,6209191,30,60,89,89
674,10123910,30,60,90,365
675,6412858,0,2,29,29
676,3987838,3,31,50,77
677,7027507,3,3,26,26
678,6587443,7,35,64,64
679,10204689,20,20,20,22
680,1029680,0,0,0,231
681,7208439,29,49,79,354
682,8327765,29,59,89,364
683,3953611,19,44,74,160
684,2584354,0,0,28,303
685,4574700,0,6,6,207
686,5685646,19,49,79,347
687,977722,1,27,57,105
688,2931922,30,60,90,365
689,8253955,30,60,90,365
690,6426462,27,27,27,277
691,8154238,30,60,90,365
692,5020861,29,39,69,344
693,9611409,29,59,88,88
694,9282348,0,0,0,34
695,8939306,23,53,83,358
696,5423692,30,60,90,365
697,9159975,30,60,90,365
698,7561272,29,59,89,209
699,7326419,17,47,77,352
700,9373607,20,50,79,79
701,6717555,0,0,0,185
702,8939433,10,29,59,334
703,8939503,13,37,56,331
704,8742753,30,60,90,365
705,8939687,15,35,63,338
706,3793406,0,0,0,0
707,9134196,22,44,74,163
708,6007267,0,0,0,2
709,3422894,0,0,0,2
710,3630581,30,60,90,349
711,9394508,17,47,77,352
712,7348578,23,53,82,82
713,8869680,0,13,40,315
714,7678429,0,0,0,129
715,2979387,30,60,90,365
716,1531458,18,48,78,353
717,1549973,30,60,90,365
718,1123977,30,60,90,365
719,5719631,30,60,90,365
720,9580209,30,60,90,365
721,9364220,27,57,87,362
722,9663221,30,60,90,365
723,9636952,30,60,90,365
724,8594059,12,42,72,347
725,6278756,0,0,0,204
726,3679617,30,60,90,365
727,9416551,5,35,65,340
728,8322107,0,0,0,90
729,9511676,8,38,51,98
730,3158243,16,16,16,221
731,8327124,20,43,73,331
732,4311078,26,48,70,329
733,3329962,30,60,90,365
734,3263071,30,60,90,365
735,7302675,0,0,0,150
736,6250399,30,60,90,179
737,7387294,16,43,45,320
738,7363462,29,59,88,88
739,6796336,0,0,0,180
740,8156894,30,60,90,365
741,1150519,20,33,63,338
742,5969872,1,31,61,336
743,9617068,30,60,90,365
744,4438188,8,36,36,118
745,1521633,30,60,90,365
746,6623079,0,0,0,192
747,7561254,24,54,84,173
748,3494608,24,50,80,143
749,3085726,30,60,90,365
750,2256124,25,53,83,168
751,7071021,30,60,90,365
752,9465815,21,21,21,45
753,6938103,0,12,42,317
754,6913414,18,48,74,236
755,3706719,30,60,90,365
756,8174626,26,56,86,361
757,1571230,30,60,90,365
758,4270642,30,60,90,365
759,5407311,24,44,74,228
760,9976135,0,0,10,10
761,9558353,7,28,57,57
762,7247767,26,56,86,361
763,7035077,30,60,90,365
764,7353834,0,0,0,146
765,9319891,27,27,27,278
766,6575407,30,60,90,365
767,7550234,28,58,86,86
768,8939736,1,21,49,324
769,7247720,28,58,88,363
770,1786923,14,44,74,349
771,7649837,25,55,84,84
772,3610724,26,56,86,361
773,7988337,26,56,86,357
774,1773803,27,57,87,362
775,7536074,30,60,90,365
776,3770248,30,60,90,365
777,9097754,30,60,89,89
778,3291295,29,59,88,88
779,8171726,0,0,0,0
780,10031055,23,53,82,82
781,8939595,24,51,81,356
782,8155580,30,60,90,365
783,6705584,30,60,90,365
784,1417880,30,60,90,365
785,7245692,21,51,81,356
786,7153101,17,39,69,335
787,9014572,30,60,90,365
788,585418,15,45,75,171
789,4484426,30,60,90,365
790,3291777,30,60,90,365
791,3096191,30,60,90,365
792,9865846,29,59,89,364
793,6249536,30,60,90,365
794,5744931,30,60,90,365
795,8156764,3,33,63,338
796,3303857,30,60,90,365
797,8155710,30,60,90,365
798,3843706,13,33,45,309
799,8156860,30,60,90,365
800,9316399,30,60,89,89
801,293890,0,0,0,214
802,7915432,30,60,90,365
803,7501583,0,0,0,139
804,10126050,28,28,28,28
805,7807658,30,60,90,365
806,1589461,30,60,90,365
807,9303530,30,60,90,365
808,7809718,12,28,42,317
809,140331,30,60,90,361
810,9462315,30,60,90,365
811,565703,14,29,59,334
812,1147349,0,26,56,331
813,7262358,3,33,63,338
814,723723,30,60,90,365
815,4757025,5,33,61,150
816,3334052,20,50,80,353
817,7036707,19,38,51,303
818,5272327,14,38,68,157
819,3921664,26,56,79,87
820,9974658,30,57,57,59
821,2727984,0,0,0,216
822,794633,10,36,62,337
823,3959442,20,50,80,351
824,6761267,17,44,73,322
825,6824408,0,0,0,0
826,2526129,0,0,0,85
827,7859906,9,39,68,68
828,9636248,28,58,88,359
829,4623541,0,0,0,156
830,1970725,30,60,90,365
831,4418480,30,60,90,365
832,911001,16,18,19,235
833,6670332,30,56,80,331
834,1249060,18,18,18,75
835,1566487,26,56,86,361
836,9711153,5,26,31,110
837,444221,16,40,69,137
838,1018204,7,23,45,192
839,4856986,0,0,0,135
840,2130652,8,28,51,302
841,5524530,9,39,69,332
842,9216874,0,0,0,48
843,7971395,30,60,90,359
844,2593263,26,56,86,358
845,443580,23,45,65,240
846,1614502,30,60,90,365
847,4477426,30,60,90,365
848,7648716,0,0,0,131
849,9696912,30,60,89,89
850,3585592,0,0,0,184
851,3757858,30,60,90,360
852,7219838,30,60,89,89
853,6022715,0,0,0,238
854,7685745,27,57,87,362
855,4565370,15,38,65,338
856,4783817,30,60,89,89
857,2593176,20,50,80,352
858,3143227,18,46,76,348
859,1214306,17,41,71,346
860,9448215,30,60,90,365
861,9369481,30,60,90,365
862,3533224,16,46,76,351
863,443736,14,44,71,245
864,6675927,16,46,76,165
865,1772119,17,47,77,342
866,7808495,0,0,0,120
867,4539948,4,6,14,14
868,7768727,26,56,86,361
869,769213,12,31,61,336
870,5328449,0,27,57,332
871,1763809,10,37,67,337
872,1499596,4,9,9,9
873,4737727,0,0,0,0
874,8242212,30,60,90,365
875,8186781,23,53,83,142
876,7229015,28,58,88,363
877,5814207,0,0,0,256
878,2274086,30,60,90,365
879,4387985,26,56,86,235
880,9909445,23,53,82,82
881,7664899,30,60,90,365
882,4773614,10,13,21,296
883,3946674,29,59,86,361
884,8616488,0,0,0,77
885,7518316,2,29,59,329
886,5259194,6,14,44,120
887,9256702,12,36,66,341
888,9240289,0,0,0,36
889,2032805,15,45,75,340
890,3751503,30,60,90,365
891,7581974,0,0,0,0
892,6558980,30,60,90,179
893,2399736,13,31,45,278
894,8674765,2,32,62,334
895,6004165,23,32,32,249
896,1826155,23,53,83,343
897,4857192,0,0,0,135
898,7748905,2,23,49,321
899,973859,30,60,90,365
900,6716380,0,0,0,185
901,7953211,22,52,82,357
902,5241773,2,9,30,99
903,3144597,18,48,78,167
904,7698916,0,0,0,127
905,7305969,30,60,90,365
906,5069495,11,41,69,319
907,1817878,0,0,0,269
908,4430381,21,51,78,335
909,6528192,2,14,44,44
910,3177005,0,8,36,311
911,4430233,20,50,77,340
912,670009,30,60,90,365
913,4577542,26,52,77,334
914,6764646,0,0,0,255
915,4256705,21,51,81,352
916,8812578,0,0,0,247
917,341454,20,50,77,318
918,8195629,6,6,6,103
919,2577625,22,25,53,300
920,555858,30,60,90,365
921,4814811,0,0,0,92
922,9484823,30,60,90,365
923,660603,28,31,58,333
924,3940265,21,49,79,354
925,7500976,0,0,0,247
926,9516608,18,18,18,37
927,9712716,30,60,90,365
928,5813657,0,0,0,94
929,8884826,24,49,74,349
930,1978743,17,47,77,340
931,6091789,0,0,0,0
932,6165353,30,60,90,365
933,1244053,30,60,89,89
934,8508223,30,60,90,365
935,6991188,3,8,35,310
936,7344117,21,49,78,188
937,9506766,22,52,82,357
938,6451305,25,52,74,318
939,7531405,0,0,0,138
940,9612147,30,59,59,59
941,666897,2,32,62,337
942,4061051,28,58,88,363
943,3394338,30,60,90,365
944,4238106,0,0,24,24
945,7350059,23,46,76,351
946,5262750,1,14,14,251
947,2802844,22,52,62,328
948,3123632,0,26,56,331
949,3024336,30,60,90,365
950,8652185,0,0,0,62
951,10192213,30,60,90,365
952,3970736,27,57,87,350
953,4546924,25,49,79,231
954,2760901,30,60,90,365
955,3490239,30,60,90,359
956,3416217,30,60,90,365
957,5537833,30,60,90,365
958,8372562,0,0,0,75
959,8866960,5,5,5,62
960,3354614,30,60,90,365
961,8953857,0,0,2,277
962,7093738,0,0,20,20
963,5277900,0,0,0,110
964,1171574,7,20,32,280
965,1818754,26,26,26,83
966,74328,30,60,90,365
967,6728017,0,0,0,185
968,2612399,6,25,38,292
969,2515795,30,60,90,365
970,7093910,0,0,20,20
971,4170863,2,32,62,330
972,7941079,30,60,90,365
973,1442973,0,0,0,215
974,4396961,30,60,90,365
975,5859152,30,60,90,365
976,8555794,30,60,90,365
977,2112625,0,3,33,292
978,8814802,30,60,90,365
979,8273948,20,50,80,169
980,319768,0,0,0,96
981,1961671,0,0,0,0
982,3691288,14,44,51,288
983,8703557,30,60,90,365
984,8525338,2,32,62,337
985,8049470,0,0,0,106
986,1455908,10,40,70,345
987,8525825,30,60,90,365
988,3463245,0,0,0,240
989,4172364,30,60,90,365
990,3728802,0,0,0,0
991,6512378,6,36,66,341
992,785830,0,0,0,72
993,8616606,20,48,74,347
994,5078244,21,51,81,356
995,7921278,17,47,77,352
996,8016610,24,54,84,229
997,4468524,18,48,78,353
998,8424532,18,40,70,292
999,6990882,15,24,45,302
1000,4017140,2,28,47,47
